image,panel_id,x,y,z
DJI_20220410132227_0017_T_JPG.rf.99b3424fa0fbc0c6e8f98900becb196a.jpg,7,-0.2091,0.1909,0.5529
DJI_20220410132227_0017_T_JPG.rf.99b3424fa0fbc0c6e8f98900becb196a.jpg,8,0.042,0.2045,0.5843
DJI_20220410132230_0018_T_JPG.rf.7f9bb5fb45df40d86b60463ed80468a0.jpg,1,-0.1059,-0.026,0.2824
DJI_20220410132230_0018_T_JPG.rf.7f9bb5fb45df40d86b60463ed80468a0.jpg,2,-0.1147,0.0277,0.3059
DJI_20220410132230_0018_T_JPG.rf.7f9bb5fb45df40d86b60463ed80468a0.jpg,3,-0.1364,0.0975,0.3608
DJI_20220410132230_0018_T_JPG.rf.7f9bb5fb45df40d86b60463ed80468a0.jpg,4,0.0283,0.1145,0.4118
DJI_20220410132230_0018_T_JPG.rf.7f9bb5fb45df40d86b60463ed80468a0.jpg,5,-0.0381,-0.0279,0.102
DJI_20220410132234_0019_T_JPG.rf.6202114283789c6ae3fb48b70856550d.jpg,1,-0.156,-0.0754,0.4196
DJI_20220410132234_0019_T_JPG.rf.6202114283789c6ae3fb48b70856550d.jpg,2,-0.1118,0.0009,0.298
DJI_20220410132234_0019_T_JPG.rf.6202114283789c6ae3fb48b70856550d.jpg,3,-0.1435,-0.1333,0.3843
DJI_20220410132234_0019_T_JPG.rf.6202114283789c6ae3fb48b70856550d.jpg,4,-0.1,0.0483,0.2667
DJI_20220410132234_0019_T_JPG.rf.6202114283789c6ae3fb48b70856550d.jpg,5,-0.1542,0.1427,0.4078
DJI_20220410132237_0020_T_JPG.rf.2e27f469aeffb1e8fec57a9d51c0d580.jpg,1,-0.1042,-0.0262,0.2745
DJI_20220410132237_0020_T_JPG.rf.2e27f469aeffb1e8fec57a9d51c0d580.jpg,2,-0.0774,0.0182,0.2039
DJI_20220410132237_0020_T_JPG.rf.2e27f469aeffb1e8fec57a9d51c0d580.jpg,3,-0.1136,0.0801,0.298
DJI_20220410132237_0020_T_JPG.rf.2e27f469aeffb1e8fec57a9d51c0d580.jpg,4,-0.0994,-0.0731,0.2627
DJI_20220410132245_0023_T_JPG.rf.8b27f8ec4a8fdc46dcd1ecb27c27423f.jpg,1,-0.1379,-0.049,0.4902
DJI_20220410132245_0023_T_JPG.rf.8b27f8ec4a8fdc46dcd1ecb27c27423f.jpg,2,-0.0295,-0.107,0.2902
DJI_20220410132245_0023_T_JPG.rf.8b27f8ec4a8fdc46dcd1ecb27c27423f.jpg,3,-0.1352,0.0336,0.4392
DJI_20220410132245_0023_T_JPG.rf.8b27f8ec4a8fdc46dcd1ecb27c27423f.jpg,4,-0.139,0.1104,0.4157
DJI_20220410132245_0023_T_JPG.rf.8b27f8ec4a8fdc46dcd1ecb27c27423f.jpg,5,-0.11,0.0971,0.2588
DJI_20220410132245_0023_T_JPG.rf.8b27f8ec4a8fdc46dcd1ecb27c27423f.jpg,6,-0.0569,-0.0622,0.2235
DJI_20220410132248_0024_T_JPG.rf.79f13d1d964fd31b332a38333af0e329.jpg,1,-0.0797,-0.0736,0.3569
DJI_20220410132248_0024_T_JPG.rf.79f13d1d964fd31b332a38333af0e329.jpg,2,-0.1191,-0.0088,0.4706
DJI_20220410132248_0024_T_JPG.rf.79f13d1d964fd31b332a38333af0e329.jpg,3,-0.1323,0.077,0.4784
DJI_20220410132248_0024_T_JPG.rf.79f13d1d964fd31b332a38333af0e329.jpg,4,-0.1194,0.1244,0.3961
DJI_20220410132251_0025_T_JPG.rf.ec63e3ad3ddde5928ddff1daf87f725c.jpg,1,-0.0983,0.0284,0.4431
DJI_20220410132251_0025_T_JPG.rf.ec63e3ad3ddde5928ddff1daf87f725c.jpg,2,-0.1065,0.1085,0.4314
DJI_20220410132251_0025_T_JPG.rf.ec63e3ad3ddde5928ddff1daf87f725c.jpg,3,-0.0065,0.007,0.0196
DJI_20220410132257_0027_T_JPG.rf.b54d7b39a623f69af37a0ce204341222.jpg,1,-0.0977,-0.0465,0.2157
DJI_20220410132257_0027_T_JPG.rf.b54d7b39a623f69af37a0ce204341222.jpg,2,-0.0451,-0.0031,0.0941
DJI_20220410132257_0027_T_JPG.rf.b54d7b39a623f69af37a0ce204341222.jpg,3,-0.095,-0.0793,0.2196
DJI_20220410132259_0028_T_JPG.rf.ccffeb5b2f404696940de00c600729fa.jpg,1,-0.1005,-0.0576,0.2392
DJI_20220410132259_0028_T_JPG.rf.ccffeb5b2f404696940de00c600729fa.jpg,2,-0.0819,-0.0749,0.2039
DJI_20220410132259_0028_T_JPG.rf.ccffeb5b2f404696940de00c600729fa.jpg,3,-0.1055,-0.0136,0.2353
DJI_20220410132259_0028_T_JPG.rf.ccffeb5b2f404696940de00c600729fa.jpg,4,-0.0,0.0,0.0
DJI_20220410132304_0029_T_JPG.rf.ce234b585de5a4348137d8ad1d34422a.jpg,1,0.0178,-0.0039,0.0392
DJI_20220410132304_0029_T_JPG.rf.ce234b585de5a4348137d8ad1d34422a.jpg,2,0.0571,0.0104,0.1255
DJI_20220410132304_0029_T_JPG.rf.ce234b585de5a4348137d8ad1d34422a.jpg,3,0.0396,0.0231,0.0863
DJI_20220410132304_0029_T_JPG.rf.ce234b585de5a4348137d8ad1d34422a.jpg,4,0.0706,-0.0446,0.1569
DJI_20220410132307_0030_T_JPG.rf.421ea1efb9d131c152b73490aaeec032.jpg,1,0.0611,-0.024,0.1373
DJI_20220410132307_0030_T_JPG.rf.421ea1efb9d131c152b73490aaeec032.jpg,2,0.058,0.0018,0.1294
DJI_20220410132307_0030_T_JPG.rf.421ea1efb9d131c152b73490aaeec032.jpg,3,0.1665,-0.1294,0.3765
DJI_20220410132307_0030_T_JPG.rf.421ea1efb9d131c152b73490aaeec032.jpg,4,0.0567,0.0247,0.1255
DJI_20220410132307_0030_T_JPG.rf.421ea1efb9d131c152b73490aaeec032.jpg,5,0.0059,-0.1278,0.3804
DJI_20220410132307_0030_T_JPG.rf.421ea1efb9d131c152b73490aaeec032.jpg,6,0.0693,0.0538,0.1529
DJI_20220410132310_0031_T_JPG.rf.b9e3365f57a3ed87f3be95fd19f2cce1.jpg,1,0.0018,-0.0744,0.1961
DJI_20220410132310_0031_T_JPG.rf.b9e3365f57a3ed87f3be95fd19f2cce1.jpg,2,0.1196,-0.0217,0.2667
DJI_20220410132310_0031_T_JPG.rf.b9e3365f57a3ed87f3be95fd19f2cce1.jpg,3,0.0037,-0.0124,0.1804
DJI_20220410132310_0031_T_JPG.rf.b9e3365f57a3ed87f3be95fd19f2cce1.jpg,4,0.048,0.0111,0.1059
DJI_20220410132310_0031_T_JPG.rf.b9e3365f57a3ed87f3be95fd19f2cce1.jpg,5,0.0626,0.0401,0.1373
DJI_20220410132310_0031_T_JPG.rf.b9e3365f57a3ed87f3be95fd19f2cce1.jpg,6,0.1162,-0.069,0.2627
DJI_20220410132310_0031_T_JPG.rf.b9e3365f57a3ed87f3be95fd19f2cce1.jpg,7,0.0058,-0.1029,0.4118
DJI_20220410132313_0032_T_JPG.rf.250effe126615f6795fa8ff859f5434f.jpg,1,0.0574,-0.0228,0.1294
DJI_20220410132313_0032_T_JPG.rf.250effe126615f6795fa8ff859f5434f.jpg,2,0.0069,-0.0788,0.4941
DJI_20220410132313_0032_T_JPG.rf.250effe126615f6795fa8ff859f5434f.jpg,3,0.0844,0.0012,0.1882
DJI_20220410132313_0032_T_JPG.rf.250effe126615f6795fa8ff859f5434f.jpg,4,0.005,0.0058,0.2471
DJI_20220410132313_0032_T_JPG.rf.250effe126615f6795fa8ff859f5434f.jpg,5,0.1827,-0.1435,0.4118
DJI_20220410132313_0032_T_JPG.rf.250effe126615f6795fa8ff859f5434f.jpg,6,0.0906,0.0391,0.2
DJI_20220410132313_0032_T_JPG.rf.250effe126615f6795fa8ff859f5434f.jpg,7,0.0047,0.0356,0.1686
DJI_20220410132313_0032_T_JPG.rf.250effe126615f6795fa8ff859f5434f.jpg,8,0.0041,-0.1762,0.5294
DJI_20220410132313_0032_T_JPG.rf.250effe126615f6795fa8ff859f5434f.jpg,9,0.1135,0.0876,0.2471
DJI_20220410132316_0033_T_JPG.rf.63987d2784ad8861f78b3bc465c8a09a.jpg,1,0.0023,-0.1411,0.3686
DJI_20220410132316_0033_T_JPG.rf.63987d2784ad8861f78b3bc465c8a09a.jpg,2,0.096,-0.0189,0.2157
DJI_20220410132316_0033_T_JPG.rf.63987d2784ad8861f78b3bc465c8a09a.jpg,3,0.007,-0.031,0.451
DJI_20220410132316_0033_T_JPG.rf.63987d2784ad8861f78b3bc465c8a09a.jpg,4,0.0655,0.0143,0.1451
DJI_20220410132316_0033_T_JPG.rf.63987d2784ad8861f78b3bc465c8a09a.jpg,5,0.0038,0.0174,0.1529
DJI_20220410132316_0033_T_JPG.rf.63987d2784ad8861f78b3bc465c8a09a.jpg,6,0.0501,0.0312,0.1098
DJI_20220410132316_0033_T_JPG.rf.63987d2784ad8861f78b3bc465c8a09a.jpg,7,0.0163,0.1557,0.5216
DJI_20220410132316_0033_T_JPG.rf.63987d2784ad8861f78b3bc465c8a09a.jpg,8,0.0957,-0.058,0.2157
DJI_20220410132316_0033_T_JPG.rf.63987d2784ad8861f78b3bc465c8a09a.jpg,9,0.0033,-0.0898,0.3569
DJI_20220410132319_0034_T_JPG.rf.14919498ea77c2d639433d13971ab730.jpg,1,0.1555,-0.0618,0.3529
DJI_20220410132319_0034_T_JPG.rf.14919498ea77c2d639433d13971ab730.jpg,2,0.0042,-0.0706,0.4471
DJI_20220410132319_0034_T_JPG.rf.14919498ea77c2d639433d13971ab730.jpg,3,0.0733,0.001,0.1647
DJI_20220410132319_0034_T_JPG.rf.14919498ea77c2d639433d13971ab730.jpg,4,0.0067,0.0108,0.4314
DJI_20220410132319_0034_T_JPG.rf.14919498ea77c2d639433d13971ab730.jpg,5,0.1956,-0.1544,0.4471
DJI_20220410132319_0034_T_JPG.rf.14919498ea77c2d639433d13971ab730.jpg,6,0.0759,0.0324,0.1686
DJI_20220410132319_0034_T_JPG.rf.14919498ea77c2d639433d13971ab730.jpg,7,0.011,0.0963,0.4706
DJI_20220410132319_0034_T_JPG.rf.14919498ea77c2d639433d13971ab730.jpg,8,0.0041,-0.1703,0.5216
DJI_20220410132319_0034_T_JPG.rf.14919498ea77c2d639433d13971ab730.jpg,9,0.1262,0.097,0.2784
DJI_20220410132319_0034_T_JPG.rf.14919498ea77c2d639433d13971ab730.jpg,10,0.0194,0.1903,0.5412
DJI_20220410132322_0035_T_JPG.rf.7e831f91644cbabe37e70f53f7ac064d.jpg,1,0.0006,-0.0931,0.3843
DJI_20220410132322_0035_T_JPG.rf.7e831f91644cbabe37e70f53f7ac064d.jpg,2,-0.0018,-0.1435,0.3843
DJI_20220410132322_0035_T_JPG.rf.7e831f91644cbabe37e70f53f7ac064d.jpg,3,0.0943,-0.0165,0.2118
DJI_20220410132322_0035_T_JPG.rf.7e831f91644cbabe37e70f53f7ac064d.jpg,4,0.0021,-0.0117,0.1922
DJI_20220410132322_0035_T_JPG.rf.7e831f91644cbabe37e70f53f7ac064d.jpg,5,0.0829,0.0196,0.1843
DJI_20220410132322_0035_T_JPG.rf.7e831f91644cbabe37e70f53f7ac064d.jpg,6,0.0079,0.0538,0.4588
DJI_20220410132322_0035_T_JPG.rf.7e831f91644cbabe37e70f53f7ac064d.jpg,7,0.1088,0.0691,0.2392
DJI_20220410132322_0035_T_JPG.rf.7e831f91644cbabe37e70f53f7ac064d.jpg,8,0.0073,0.076,0.2471
DJI_20220410132322_0035_T_JPG.rf.7e831f91644cbabe37e70f53f7ac064d.jpg,9,0.1163,-0.1038,0.2667
DJI_20220410132322_0035_T_JPG.rf.7e831f91644cbabe37e70f53f7ac064d.jpg,10,0.0809,-0.0484,0.1843
DJI_20220410132325_0036_T_JPG.rf.276633477340d1b5261d94d4045814c8.jpg,1,0.1527,-0.0584,0.349
DJI_20220410132325_0036_T_JPG.rf.276633477340d1b5261d94d4045814c8.jpg,2,0.0007,-0.0614,0.4275
DJI_20220410132325_0036_T_JPG.rf.276633477340d1b5261d94d4045814c8.jpg,3,0.1734,0.0061,0.3922
DJI_20220410132325_0036_T_JPG.rf.276633477340d1b5261d94d4045814c8.jpg,4,0.0054,0.0126,0.3843
DJI_20220410132325_0036_T_JPG.rf.276633477340d1b5261d94d4045814c8.jpg,5,0.0686,0.0299,0.1529
DJI_20220410132325_0036_T_JPG.rf.276633477340d1b5261d94d4045814c8.jpg,6,0.0043,0.0423,0.1961
DJI_20220410132325_0036_T_JPG.rf.276633477340d1b5261d94d4045814c8.jpg,7,0.1911,-0.1496,0.4431
DJI_20220410132325_0036_T_JPG.rf.276633477340d1b5261d94d4045814c8.jpg,8,0.1165,0.091,0.2588
DJI_20220410132325_0036_T_JPG.rf.276633477340d1b5261d94d4045814c8.jpg,9,0.014,0.2015,0.5608
DJI_20220410132325_0036_T_JPG.rf.276633477340d1b5261d94d4045814c8.jpg,10,0.0008,-0.1666,0.5176
DJI_20220410132328_0037_T_JPG.rf.90abdcd81afb0b86fc80de996059fe57.jpg,1,-0.1027,-0.0571,0.2471
DJI_20220410132328_0037_T_JPG.rf.90abdcd81afb0b86fc80de996059fe57.jpg,2,-0.0031,-0.1231,0.3255
DJI_20220410132328_0037_T_JPG.rf.90abdcd81afb0b86fc80de996059fe57.jpg,3,-0.2086,-0.1868,0.498
DJI_20220410132328_0037_T_JPG.rf.90abdcd81afb0b86fc80de996059fe57.jpg,4,0.093,-0.0182,0.2118
DJI_20220410132328_0037_T_JPG.rf.90abdcd81afb0b86fc80de996059fe57.jpg,5,0.0007,-0.0081,0.1176
DJI_20220410132328_0037_T_JPG.rf.90abdcd81afb0b86fc80de996059fe57.jpg,6,0.0926,0.0201,0.2078
DJI_20220410132328_0037_T_JPG.rf.90abdcd81afb0b86fc80de996059fe57.jpg,7,0.0059,0.0452,0.3804
DJI_20220410132328_0037_T_JPG.rf.90abdcd81afb0b86fc80de996059fe57.jpg,8,0.0651,0.0408,0.1451
DJI_20220410132328_0037_T_JPG.rf.90abdcd81afb0b86fc80de996059fe57.jpg,9,0.0051,0.0753,0.251
DJI_20220410132328_0037_T_JPG.rf.90abdcd81afb0b86fc80de996059fe57.jpg,10,0.1373,-0.0843,0.3137
DJI_20220410132328_0037_T_JPG.rf.90abdcd81afb0b86fc80de996059fe57.jpg,11,-0.0006,-0.0451,0.1804
DJI_20220410132331_0038_T_JPG.rf.c9fa9fb68098e87e8ebb3c7e6d0a079e.jpg,1,0.1145,-0.0443,0.2627
DJI_20220410132331_0038_T_JPG.rf.c9fa9fb68098e87e8ebb3c7e6d0a079e.jpg,2,-0.0007,-0.0669,0.451
DJI_20220410132331_0038_T_JPG.rf.c9fa9fb68098e87e8ebb3c7e6d0a079e.jpg,3,-0.1505,-0.0468,0.3608
DJI_20220410132331_0038_T_JPG.rf.c9fa9fb68098e87e8ebb3c7e6d0a079e.jpg,4,0.0884,0.0028,0.2
DJI_20220410132331_0038_T_JPG.rf.c9fa9fb68098e87e8ebb3c7e6d0a079e.jpg,5,0.0013,0.0101,0.2824
DJI_20220410132331_0038_T_JPG.rf.c9fa9fb68098e87e8ebb3c7e6d0a079e.jpg,6,-0.1429,0.0178,0.3451
DJI_20220410132331_0038_T_JPG.rf.c9fa9fb68098e87e8ebb3c7e6d0a079e.jpg,7,0.115,-0.0921,0.2667
DJI_20220410132331_0038_T_JPG.rf.c9fa9fb68098e87e8ebb3c7e6d0a079e.jpg,8,0.0856,0.0381,0.1922
DJI_20220410132331_0038_T_JPG.rf.c9fa9fb68098e87e8ebb3c7e6d0a079e.jpg,9,0.0033,0.051,0.2314
